,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,laisser,let
10,car,because
11,aucun,no
12,laisse,leash
13,eux,them
14,ville,city
15,chaque,each
16,arrivé,come
17,devrait,should
18,heures,hours
19,vont,will
20,pendant,while
21,revoir,meet again
22,aucune,any
23,place,square
24,parle,speak
25,compris,understood
26,savais,knew
27,étaient,were
28,attention,Warning
29,voici,here is
30,pourrais,could
31,donner,give
32,leurs,their
33,donné,given
34,train,train
35,corps,body
36,endroit,place
37,yeux,eyes
38,façon,way
39,écoute,listen
40,dont,whose
41,trouve,find
42,premier,first
43,perdu,lost
44,main,hand
45,première,first
46,côté,side
47,pouvoir,power
48,vieux,old
49,sois,be
50,matin,morning
51,enfant,child
52,point,point
53,venu,came
54,suite,after
55,pardon,sorry
56,venez,come
57,devant,in front of
58,vers,towards
59,minutes,minutes
60,demandé,request
61,chambre,bedroom
62,belle,beautiful
63,droit,law
64,aimerais,would like to
65,aujourd'hui,today
66,mari,husband
67,enfin,finally
68,espère,hope
69,eau,water
70,attendez,Wait
71,parti,left
72,nouvelle,new
73,arrêter,Stop
74,dirait,would say
75,terre,Earth
76,donne,given
77,loin,far
78,fin,end
79,croire,believe
80,gros,large
81,plutôt,rather
82,aura,will have
83,filles,girls
84,jouer,to play
85,bureau,office
